"ANO";"CEA";"NOME_CEA";"NUC_RURAL";"NUC_URBANO";"NUC_TOTAL";"DEC_URBANO";"DEC_RURAL";"DEC_TOTAL_CONJUNTO";"META_DEC";"FEC_URBANO";"FEC_RURAL";"FEC_TOTAL_CONJUNTO";"META_FEC";"ATENDE_DEC";"ATENDE_FEC"
2022;14668;CASCAVEL;4951;38193;43108;6.2497;37.4127;9.8243;10;6.5883;19.8571;8.1099;8;SIM;NÃO
2025;14670;GUAIRA;2723;22601;25324;9.2956;26.5009;11.137;8;6.8184;10.9178;7.2574;6;NÃO;NÃO
2024;14670;GUAIRA;2654;22209;24863;6.8663;24.3142;8.7212;9;4.6074;10.6593;5.2509;6;SIM;SIM
2023;14670;GUAIRA;2601;21952;24553;6.5606;28.1815;8.8453;9;5.1816;10.6251;5.7566;7;SIM;SIM
2022;14670;GUAIRA;2592;21848;24440;10.1122;35.2646;12.7572;10;6.0145;12.5354;6.6993;7;NÃO;SIM
2025;14671;IBIPORA;2892;36749;39641;3.3934;26.7205;5.0911;7;3.3181;9.1756;3.7445;6;SIM;SIM
2024;14671;IBIPORA;2809;35932;38741;3.4768;16.9674;4.4609;8;3.2883;9.4608;3.7393;6;SIM;SIM
2023;14671;IBIPORA;2779;34727;37506;3.4066;19.6093;4.602;8;2.9384;8.6145;3.3571;6;SIM;SIM
2022;14671;IBIPORA;2719;33874;36593;3.36;19.8148;4.5806;9;2.4375;8.1476;2.8607;7;SIM;SIM
2025;14672;CIANORTE;10393;59131;69524;6.454;19.2837;8.3324;8;5.8975;11.6721;6.7436;6;NÃO;NÃO
2024;14672;CIANORTE;9780;58612;68392;5.6762;17.6917;7.3225;9;5.5808;9.209;6.0787;6;SIM;NÃO
2023;14672;CIANORTE;8936;58195;67131;4.5312;19.2473;6.4574;9;4.7554;10.423;5.4967;6;SIM;SIM
2022;14672;CIANORTE;8555;57852;66407;3.9895;14.6838;5.3523;10;2.9769;7.3991;3.5404;7;SIM;SIM
2025;14676;CLEVELANDIA;2455;9443;11893;7.8295;50.4235;16.6508;12;5.5747;22.9287;9.1693;9;NÃO;NÃO
2024;14676;CLEVELANDIA;2438;9285;11722;12.0998;57.123;21.5029;12;9.6323;24.5449;12.7468;9;NÃO;NÃO
2023;14676;CLEVELANDIA;2430;9166;11596;7.1891;58.7281;17.9852;13;5.9223;22.4661;9.3878;9;NÃO;NÃO
2022;14676;CLEVELANDIA;2417;9116;11533;12.7097;65.5947;23.7815;13;10.6788;30.611;14.8517;10;NÃO;NÃO
2025;14678;CASTRO;10509;29943;40056;7.1882;43.0229;16.4904;11;5.5433;18.9981;9.0333;7;NÃO;NÃO
2024;14678;CASTRO;10351;29165;39516;7.5329;36.8895;15.2564;11;5.8486;16.6992;8.7037;7;NÃO;NÃO
2023;14678;CASTRO;10286;28740;39026;6.1741;50.7113;17.9329;11;4.7969;20.4988;8.9433;8;NÃO;NÃO
2022;14678;CASTRO;10159;28338;38481;6.741;53.5498;19.0994;12;6.1779;26.6728;11.5885;8;NÃO;NÃO
2025;14680;PONTA GROSSA SUL;1103;14509;15612;8.3083;39.36;10.3152;9;5.4437;14.9792;6.0616;7;NÃO;SIM
2024;14680;PONTA GROSSA SUL;938;13848;14782;11.7887;37.7755;13.4531;9;10.643;16.0764;10.9905;7;NÃO;NÃO
2023;14680;PONTA GROSSA SUL;925;13363;14286;7.0918;54.0642;10.1581;9;4.5397;16.3543;5.3115;7;NÃO;SIM
2022;14680;PONTA GROSSA SUL;919;13059;13975;6.6883;51.1079;9.6385;10;5.8285;17.165;6.5815;8;SIM;SIM
2025;14682;SANTOS DUMONT;8425;64340;72765;4.08;18.283;5.6402;7;2.9911;7.2456;3.4585;5;SIM;SIM
2024;14682;SANTOS DUMONT;7512;63930;71442;5.6023;19.4199;7.0225;8;4.0125;9.0178;4.5259;5;SIM;SIM
2023;14682;SANTOS DUMONT;7089;63235;70309;4.8609;19.5752;6.3223;8;3.6808;8.4293;4.1517;6;SIM;SIM
2022;14682;SANTOS DUMONT;6787;62680;69467;4.8116;18.9223;6.1632;9;3.937;9.0648;4.428;6;SIM;SIM
2025;14683;CEU AZUL;4539;15299;19838;6.8672;28.6946;11.8699;15;5.1047;14.4101;7.2379;9;SIM;SIM
2024;14683;CEU AZUL;4463;15034;19495;7.8395;27.9437;12.4435;15;5.8697;11.4863;7.1558;9;SIM;SIM
2023;14683;CEU AZUL;4395;14809;19204;4.7285;24.7309;9.315;15;3.3485;10.4738;4.9819;10;SIM;SIM
2022;14683;CEU AZUL;4352;14620;18972;6.9835;31.7521;12.6615;15;4.772;12.4556;6.5335;10;SIM;SIM
2025;14684;CAMPO LARGO;4332;3058;7385;9.2982;24.5384;18.2148;16;6.2496;10.3901;8.6729;9;NÃO;SIM
2024;14684;CAMPO LARGO;4272;3029;7301;15.3683;36.0488;27.4371;17;9.1692;14.6375;12.3604;10;NÃO;NÃO
2023;14684;CAMPO LARGO;4181;2996;7172;10.4264;36.1338;25.3778;17;7.8867;11.514;9.9911;10;NÃO;SIM
2022;14684;CAMPO LARGO;4100;2986;7086;10.4233;16.5931;13.9991;18;7.2144;8.787;8.1273;11;SIM;SIM
2025;14686;POSTO FISCAL;1879;18511;20389;5.6836;23.7979;7.3642;9;3.6926;12.2572;4.4865;7;SIM;SIM
2024;14686;POSTO FISCAL;1852;18006;19857;9.5493;36.7638;12.1116;9;5.9856;16.7449;6.9995;7;NÃO;SIM
2023;14686;POSTO FISCAL;1832;17575;19407;10.5409;51.9794;14.451;9;8.4042;20.4004;9.5347;7;NÃO;NÃO
2022;14686;POSTO FISCAL;1783;17118;18898;11.0507;51.8645;14.9248;9;7.3989;17.6204;8.3692;7;NÃO;NÃO
2025;14687;SAO MATEUS DO SUL;14346;14716;29059;2.8646;11.7602;7.2638;16;1.9263;5.9541;3.9183;9;SIM;SIM
2024;14687;SAO MATEUS DO SUL;14203;14555;28758;3.5917;16.0437;9.7481;17;2.4728;8.5042;5.4545;10;SIM;SIM
2023;14687;SAO MATEUS DO SUL;13970;14338;28290;4.8341;16.119;10.3822;17;2.8457;8.3069;5.5304;10;SIM;SIM
2022;14687;SAO MATEUS DO SUL;13670;14193;27858;4.1062;16.154;10.0007;18;3.3409;9.9382;6.5687;11;SIM;SIM
2025;14691;ALTONIA;4930;23224;28154;3.3337;10.1961;4.5346;10;2.3847;5.4484;2.9208;7;SIM;SIM
2024;14691;ALTONIA;4993;22813;27645;2.7873;12.148;4.4484;10;1.9922;5.4896;2.6141;7;SIM;SIM
2023;14691;ALTONIA;4991;22275;27266;4.1532;17.8853;6.6635;10;5.7803;9.8563;6.5255;7;SIM;SIM
2022;14691;ALTONIA;4940;22016;26951;3.8997;19.3314;6.7316;11;2.5802;9.2564;3.8056;8;SIM;SIM
2025;14693;ANDIRA;2538;20661;23199;3.0526;18.2547;4.715;7;1.7788;5.719;2.2098;5;SIM;SIM
2024;14693;ANDIRA;2497;20444;22929;4.6027;19.3322;6.1889;7;3.4597;7.1243;3.8544;5;SIM;SIM
2023;14693;ANDIRA;2417;20419;22832;4.7348;20.6484;6.4146;8;2.5504;6.877;3.007;6;SIM;SIM
2022;14693;ANDIRA;2381;20363;22740;3.3451;16.7192;4.7347;8;2.1653;6.4921;2.6146;6;SIM;SIM
2025;14694;BELEM;18;51145;51162;4.1016;47.1286;4.1161;5;3.1495;13.098;3.1529;4;SIM;SIM
2024;14694;BELEM;18;50158;50175;6.1864;22.0509;6.1919;5;5.9794;16.4706;5.983;4;NÃO;NÃO
2023;14694;BELEM;16;48886;48902;4.5842;25.8248;4.591;6;4.5201;11.9304;4.5225;5;SIM;SIM
2022;14694;BELEM;15;46937;46952;4.3314;49.3467;4.346;6;4.9413;17.7333;4.9454;5;SIM;SIM
2025;14696;BELA VISTA DO PARAISO;8986;22357;31343;4.7204;19.391;8.8693;7;4.0549;8.0214;5.1742;6;NÃO;SIM
2024;14696;BELA VISTA DO PARAISO;8554;21998;30552;3.1329;14.6819;6.3359;7;3.4508;7.0995;4.463;6;SIM;SIM
2023;14696;BELA VISTA DO PARAISO;8173;21652;29825;5.1867;22.3469;9.8399;8;4.3841;10.1188;5.9366;7;NÃO;SIM
2022;14696;BELA VISTA DO PARAISO;8193;21555;29420;3.1346;13.0646;5.7944;8;2.7449;7.5746;4.0393;7;SIM;SIM
2025;14697;BANDEIRANTES;3454;23529;26983;4.2904;20.3462;6.3436;9;2.1403;4.8016;2.4805;6;SIM;SIM
2024;14697;BANDEIRANTES;3413;23310;26723;2.9967;16.9755;4.7839;9;2.3317;6.252;2.8329;6;SIM;SIM
2023;14697;BANDEIRANTES;3401;23074;26475;4.9177;18.6184;6.6735;10;4.2977;7.0407;4.6493;7;SIM;SIM
2022;14697;BANDEIRANTES;3368;23050;26418;3.5907;14.3468;4.9594;10;2.3988;5.8808;2.8419;7;SIM;SIM
2025;14698;ASTORGA;5696;31614;37301;4.2903;18.2137;6.413;7;3.1946;7.6345;3.8719;6;SIM;SIM
2024;14698;ASTORGA;5575;31043;36618;3.437;16.7461;5.435;8;2.8272;7.6232;3.5479;6;SIM;SIM
2023;14698;ASTORGA;5318;30660;35978;3.6922;15.7868;5.4684;9;4.3947;8.2174;4.956;7;SIM;SIM
2022;14698;ASTORGA;6377;30201;35334;3.2747;12.1728;4.5841;9;3.5877;6.2428;3.9694;7;SIM;SIM
2025;14699;ASSAI;3311;17136;20447;6.2224;27.7065;9.67;10;3.6259;9.1684;4.5151;8;SIM;SIM
2024;14699;ASSAI;3227;17054;20276;5.0433;21.5218;7.6718;11;2.4348;7.4261;3.2309;8;SIM;SIM
2023;14699;ASSAI;3236;16904;20108;6.2575;30.5808;10.1629;11;4.1744;9.4122;5.0159;8;SIM;SIM
2022;14699;ASSAI;3214;16732;19944;3.641;22.9327;6.753;12;2.2649;7.0178;3.0318;9;SIM;SIM
2025;15563;CAMPO COMPRIDO;777;35544;36319;4.8603;25.3015;5.2965;6;3.7443;13.3709;3.9501;5;SIM;SIM
2024;15563;CAMPO COMPRIDO;760;34969;35729;6.2536;19.9447;6.5436;6;5.6258;12.9689;5.7814;5;NÃO;NÃO
2023;15563;CAMPO COMPRIDO;748;34603;35351;5.0447;16.4064;5.283;7;4.1542;9.0679;4.2574;6;SIM;SIM
2022;15563;CAMPO COMPRIDO;734;34308;35042;4.9577;15.6983;5.1825;7;3.7755;10.5692;3.9179;6;SIM;SIM
2025;15564;CAMPINA DO SIQUEIRA;0;21937;21937;1.6454;0;1.6454;6;1.2323;0;1.2323;4;SIM;SIM
2024;15564;CAMPINA DO SIQUEIRA;0;21600;21600;2.9659;0;2.9659;6;1.5933;0;1.5933;4;SIM;SIM
2023;15564;CAMPINA DO SIQUEIRA;0;21301;21301;1.5619;0;1.5619;6;1.0176;0;1.0176;5;SIM;SIM
2022;15564;CAMPINA DO SIQUEIRA;0;20952;20952;2.7225;0;2.7225;7;1.5577;0;1.5577;5;SIM;SIM
2025;15565;IRATI;11627;31334;42957;5.9317;15.6625;8.5631;13;4.2819;8.3342;5.3777;8;SIM;SIM
2024;15565;IRATI;11420;30832;42252;5.0706;23.2851;10.0078;14;4.2133;11.376;6.1553;9;SIM;SIM
2023;15565;IRATI;11270;30231;41501;6.6942;25.0072;11.6669;14;6.1108;11.6183;7.6064;9;SIM;SIM
2022;15565;IRATI;11060;29711;40771;4.3857;16.7823;7.7476;15;4.1926;8.5665;5.3785;10;SIM;SIM
2025;15567;SANTA FELICIDADE;1274;31845;33119;4.9577;33.3985;5.9462;6;3.1013;14.1605;3.491;4;SIM;SIM
2024;15567;SANTA FELICIDADE;1131;31595;32719;4.4675;30.6672;5.3715;6;3.5452;11.287;3.812;4;SIM;SIM
2023;15567;SANTA FELICIDADE;1119;31213;32332;5.7431;43.7613;7.0553;7;3.8099;18.8698;4.3294;5;NÃO;SIM
2022;15567;SANTA FELICIDADE;1110;30910;32020;7.509;31.8957;8.3501;7;4.903;13.809;5.2102;5;NÃO;NÃO
2025;15569;SANTA HELENA;6749;17362;24111;13.9498;28.3724;17.9804;12;8.7409;11.9792;9.6461;8;NÃO;NÃO
2024;15569;SANTA HELENA;6597;17034;23626;11.0179;33.4154;17.3092;12;7.4622;14.3755;9.404;8;NÃO;NÃO
2023;15569;SANTA HELENA;6466;16700;23132;8.8229;27.3614;13.9916;12;6.5044;12.168;8.0836;9;NÃO;SIM
2022;15569;SANTA HELENA;6413;16423;22759;7.5967;31.2121;14.1887;12;6.573;14.552;8.8013;9;NÃO;SIM
2025;15570;MEDIANEIRA;4168;36594;40762;7.0758;24.9182;8.9078;10;5.0904;12.4738;5.8488;7;SIM;SIM
2024;15570;MEDIANEIRA;4110;35691;39801;7.3074;30.0309;9.6662;11;6.7991;16.2464;7.7801;7;SIM;NÃO
2023;15570;MEDIANEIRA;4482;35071;39152;5.905;23.1638;7.8693;11;5.517;12.1235;6.2637;7;SIM;SIM
2022;15570;MEDIANEIRA;4450;34087;38537;4.693;28.7525;7.4828;12;3.2091;11.898;4.2163;8;SIM;SIM
2025;15571;UMUARAMA;6885;49479;56364;5.8477;24.8483;8.1681;9;5.8266;13.807;6.8005;6;SIM;NÃO
2024;15571;UMUARAMA;6671;48644;55315;5.5165;24.8213;7.8477;9;4.9835;12.746;5.9208;6;SIM;SIM
2023;15571;UMUARAMA;6561;47819;54380;7.3522;30.7409;10.1644;9;8.3778;18.7028;9.6195;6;NÃO;NÃO
2022;15571;UMUARAMA;6387;46967;53354;5.9085;28.7087;8.6299;10;5.1626;12.926;6.0893;7;SIM;SIM
2025;15572;TAMOIO;5812;37480;43292;3.7149;11.5431;4.7543;8;3.0239;5.6144;3.3674;6;SIM;SIM
2024;15572;TAMOIO;5582;36923;42505;4.0803;12.7148;5.2044;9;3.4171;5.9629;3.7484;7;SIM;SIM
2023;15572;TAMOIO;5394;36297;41691;4.7318;18.9131;6.5519;9;3.9589;10.4798;4.7957;7;SIM;SIM
2022;15572;TAMOIO;5204;35826;41030;4.889;17.2616;6.4483;10;4.1554;8.84;4.7457;8;SIM;SIM
2025;15573;UVARANAS;0;31644;31644;1.6072;0;1.6072;5;1.2799;0;1.2799;4;SIM;SIM
2024;15573;UVARANAS;0;31407;31407;2.3518;0;2.3518;5;2.3212;0;2.3212;4;SIM;SIM
2023;15573;UVARANAS;0;31281;31281;2.9854;0;2.9854;5;2.4174;0;2.4174;4;SIM;SIM
2022;15573;UVARANAS;0;31081;31081;2.377;0;2.377;5;1.4904;0;1.4904;4;SIM;SIM
2025;15574;PONTA GROSSA NORTE;3190;35407;38594;5.3774;42.775;8.5017;10;3.7155;15.2502;4.6795;7;SIM;SIM
2024;15574;PONTA GROSSA NORTE;3142;34089;37231;4.9026;27.8306;6.8672;11;4.8251;11.2601;5.3768;7;SIM;SIM
2023;15574;PONTA GROSSA NORTE;3105;32854;35959;4.4595;62.7182;9.5809;11;3.612;23.9611;5.402;8;SIM;SIM
2022;15574;PONTA GROSSA NORTE;3031;31446;34477;4.6865;37.2527;7.5497;12;4.9589;16.3884;5.964;8;SIM;SIM
2025;15575;VILA YOLANDA;1;44165;44166;4.6822;5.55;4.6822;5;3.4886;14;3.4888;4;SIM;SIM
2024;15575;VILA YOLANDA;1;42755;42756;4.7785;1.3667;4.7785;5;3.6991;1;3.6992;4;SIM;SIM
2023;15575;VILA YOLANDA;0;42045;42045;4.0597;0;4.0597;5;3.7427;0;3.7427;5;SIM;SIM
2022;15575;VILA YOLANDA;0;41266;41266;3.7267;0;3.7267;5;2.5204;0;2.5204;5;SIM;SIM
2025;15576;PORTAL;2002;56754;58756;7.155;29.5895;7.9227;6;4.5273;14.0057;4.8518;4;NÃO;NÃO
2024;15576;PORTAL;1954;55095;57045;5.8684;41.4371;7.0979;6;3.9148;19.2671;4.4452;4;NÃO;NÃO
2023;15576;PORTAL;1934;53751;55683;6.3401;37.0071;7.4065;6;4.0936;20.699;4.6711;5;NÃO;SIM
2022;15576;PORTAL;2138;52545;54683;7.6869;36.3661;8.8063;6;6.1104;23.6006;6.7929;5;NÃO;NÃO
2025;15577;FOZ DO IGUACU;790;38785;39575;4.9837;40.6523;5.6953;6;3.6685;15.8867;3.9122;5;SIM;SIM
2024;15577;FOZ DO IGUACU;773;37893;38664;4.4052;30.8063;4.9269;6;4.6981;13.151;4.8657;5;SIM;SIM
2023;15577;FOZ DO IGUACU;737;37347;38081;4.1636;53.347;5.1149;7;4.894;17.3812;5.1355;5;SIM;NÃO
2022;15577;FOZ DO IGUACU;770;36680;37450;4.4929;48.6784;5.3857;7;3.7049;21.6243;4.067;6;SIM;SIM
2025;15578;XAXIM;0;37086;37086;3.0016;0;3.0016;5;3.5495;0;3.5495;4;SIM;SIM
2024;15578;XAXIM;0;36647;36647;3.2833;0;3.2833;5;2.7441;0;2.7441;4;SIM;SIM
2023;15578;XAXIM;0;36412;36412;1.8038;0;1.8038;6;1.1328;0;1.1328;5;SIM;SIM
2022;15578;XAXIM;0;36268;36268;2.2742;0;2.2742;5;1.7794;0;1.7794;5;SIM;SIM
2025;15579;BARIGUI;0;58847;58847;4.4153;0;4.4153;6;2.7644;0;2.7644;4;SIM;SIM
2024;15579;BARIGUI;0;58441;58441;4.6851;0;4.6851;6;3.4469;0;3.4469;4;SIM;SIM
2023;15579;BARIGUI;0;57928;57928;4.19;0;4.19;6;3.6389;0;3.6389;5;SIM;SIM
2022;15579;BARIGUI;0;57498;57498;5.0127;0;5.0127;7;4.0209;0;4.0209;5;SIM;SIM
2025;15581;CIDADE INDUSTRIAL;12;23360;23372;3.2453;0.15;3.2452;5;2.9657;1;2.9662;4;SIM;SIM
2024;15581;CIDADE INDUSTRIAL;0;22613;22613;8.0549;0;8.0549;5;5.7231;0;5.7231;4;NÃO;NÃO
2023;15581;CIDADE INDUSTRIAL;0;22415;22415;2.6915;0;2.6915;6;1.754;0;1.754;5;SIM;SIM
2022;15581;CIDADE INDUSTRIAL;0;22100;22100;3.6941;0;3.6941;6;2.6681;0;2.6681;5;SIM;SIM
2025;15584;TANGARA;2079;16710;18789;3.34;10.2653;3.994;6;3.2811;4.8507;3.4267;5;SIM;SIM
2024;15584;TANGARA;1385;16284;17664;2.1246;9.0951;2.6677;6;2.1398;6.0477;2.4452;5;SIM;SIM
2023;15584;TANGARA;1270;15973;17243;2.185;13.6867;2.7383;6;1.9023;6.4233;2.1281;5;SIM;SIM
2022;15584;TANGARA;678;15516;16194;2.4599;17.0467;3.0605;7;2.2557;9.4773;2.5537;6;SIM;SIM
2025;15585;ARAPONGAS;428;39467;39895;2.3307;16.042;2.4743;6;1.9972;8.0207;2.0602;4;SIM;SIM
2024;15585;ARAPONGAS;407;38854;39261;2.6092;12.8734;2.7123;6;2.318;5.0504;2.3454;4;SIM;SIM
2023;15585;ARAPONGAS;375;38455;38820;1.559;13.5202;1.67;6;1.1189;5.9749;1.164;5;SIM;SIM
2022;15585;ARAPONGAS;341;37947;38288;3.3838;14.4561;3.4787;7;3.2038;9.5106;3.258;5;SIM;SIM
2025;15919;PATO BRANCO;8842;52452;61294;4.5291;32.6073;8.5908;9;5.1365;17.5257;6.9288;6;SIM;NÃO
2024;15919;PATO BRANCO;8689;51469;60158;4.7276;35.0374;9.1114;9;6.3341;19.8542;8.2895;6;NÃO;NÃO
2023;15919;PATO BRANCO;8554;50593;59147;4.7408;30.5026;8.4757;10;5.5609;16.5702;7.157;7;SIM;NÃO
2022;15919;PATO BRANCO;8425;49652;58073;4.7513;38.0823;9.5874;10;4.9244;20.2968;7.1545;7;SIM;NÃO
2025;15921;SAO JOSE DOS PINHAIS;1146;31887;33024;4.8151;20.2603;5.3485;7;3.7056;10.5236;3.9412;6;SIM;SIM
2024;15921;SAO JOSE DOS PINHAIS;1108;31024;32125;4.9109;15.2457;5.2665;7;3.6588;9.1334;3.8473;6;SIM;SIM
2023;15921;SAO JOSE DOS PINHAIS;1078;30383;31461;6.3095;20.6288;6.7975;7;4.8158;9.7902;4.9857;6;SIM;SIM
2022;15921;SAO JOSE DOS PINHAIS;1035;29559;30591;3.7672;10.2747;3.9854;8;2.9038;5.9871;3.007;6;SIM;SIM
2025;15922;TARUMA;1;37725;37726;3.3585;0;3.3585;5;2.5591;0;2.5591;4;SIM;SIM
2024;15922;TARUMA;0;37276;37276;4.2556;0;4.2556;5;2.7359;0;2.7359;4;SIM;SIM
2023;15922;TARUMA;0;36801;36801;3.4601;0;3.4601;5;2.6211;0;2.6211;5;SIM;SIM
2022;15922;TARUMA;0;36378;36378;3.7835;0;3.7835;6;3.0244;0;3.0244;5;SIM;SIM
2025;15923;ATUBA;588;79518;80051;3.7818;4.7089;3.789;6;3.3723;3.9395;3.3766;4;SIM;SIM
2024;15923;ATUBA;60;78630;78689;4.7724;14.1111;4.7793;6;4.5128;6.7001;4.5144;4;SIM;NÃO
2023;15923;ATUBA;61;77313;77373;4.0188;6.5902;4.0208;6;3.4985;4.76;3.4994;5;SIM;SIM
2022;15923;ATUBA;60;76144;76202;5.7052;5.0726;5.7047;7;4.8857;5.8757;4.8864;5;SIM;SIM
2025;15924;ARAUCARIA;8182;49814;57996;4.1456;24.5146;7.0334;8;3.9579;13.8058;5.3542;6;SIM;SIM
2024;15924;ARAUCARIA;8047;48401;56448;6.403;34.1012;10.3466;8;6.2855;17.5582;7.8905;6;NÃO;NÃO
2023;15924;ARAUCARIA;7784;46889;54673;6.7554;26.7598;9.5877;9;7.2559;16.3178;8.5376;6;NÃO;NÃO
2022;15924;ARAUCARIA;7445;45359;52804;4.3263;20.41;6.5922;9;4.2514;11.9033;5.3295;6;SIM;SIM
2025;15925;ALTO DA GLORIA;1;30079;30079;1.8169;7.1833;1.8171;4;1.2468;6;1.247;4;SIM;SIM
2024;15925;ALTO DA GLORIA;0;29815;29815;1.4339;0;1.4339;4;0.9264;0;0.9264;4;SIM;SIM
2023;15925;ALTO DA GLORIA;0;29399;29399;1.526;0;1.526;4;1.3828;0;1.3828;4;SIM;SIM
2022;15925;ALTO DA GLORIA;0;28868;28868;2.8952;0;2.8952;4;2.3337;0;2.3337;4;SIM;SIM
2025;15927;UNIAO DA VITORIA;6757;27359;34116;5.1916;36.8252;11.4613;12;3.6688;13.4987;5.617;7;SIM;SIM
2024;15927;UNIAO DA VITORIA;6708;27022;33705;6.0198;40.0758;12.8009;12;4.2115;13.3797;6.0369;7;NÃO;SIM
2023;15927;UNIAO DA VITORIA;6764;26802;33490;5.8538;41.5909;13.0399;13;3.4422;15.0592;5.7778;8;NÃO;SIM
2022;15927;UNIAO DA VITORIA;6666;26542;33208;5.3578;45.6272;13.4604;13;3.714;14.2369;5.8303;8;NÃO;SIM
2025;15928;TOLEDO;3234;36499;39733;5.4051;22.2387;6.7837;7;4.3904;10.3136;4.8753;6;SIM;SIM
2024;15928;TOLEDO;3149;35240;38389;4.241;25.5407;5.9974;8;3.0555;11.7876;3.7758;6;SIM;SIM
2023;15928;TOLEDO;3093;34103;37196;3.4067;18.4986;4.6666;8;2.9671;8.7648;3.4512;6;SIM;SIM
2022;15928;TOLEDO;3087;33192;36217;3.3581;26.8528;5.3426;9;2.4905;10.2909;3.1497;7;SIM;SIM
2025;15929;TELEMACO BORBA;3752;28462;31921;6.6438;36.8906;10.1735;11;5.404;13.6431;6.3619;7;SIM;SIM
2024;15929;TELEMACO BORBA;3699;27905;31604;7.157;44.524;11.5191;12;5.3508;19.9489;7.0552;8;SIM;SIM
2023;15929;TELEMACO BORBA;3652;27843;31430;6.4832;46.7168;11.115;13;4.3903;18.5215;6.0153;8;SIM;SIM
2022;15929;TELEMACO BORBA;3564;27791;31355;7.032;47.3433;11.595;14;5.2731;18.3884;6.7579;9;SIM;SIM
2025;15930;IGAPO;1162;43795;44957;3.6445;22.3838;4.1267;5;2.4174;8.9547;2.5855;4;SIM;SIM
2024;15930;IGAPO;1111;42626;43737;2.9652;20.5208;3.413;5;1.8976;8.6458;2.0698;4;SIM;SIM
2023;15930;IGAPO;1104;42024;43128;2.825;14.0387;3.1089;5;1.8272;7.714;1.9763;4;SIM;SIM
2022;15930;IGAPO;1056;41222;42278;4.2705;12.9596;4.4865;5;3.016;5.9955;3.0902;4;SIM;SIM
2025;15932;PALERMO;0;30006;30006;2.8646;0;2.8646;5;1.8659;0;1.8659;4;SIM;SIM
2024;15932;PALERMO;0;29426;29426;2.9825;0;2.9825;5;1.8574;0;1.8574;4;SIM;SIM
2023;15932;PALERMO;0;29308;29308;1.7654;0;1.7654;5;1.5734;0;1.5734;5;SIM;SIM
2022;15932;PALERMO;0;29069;29069;2.6222;0;2.6222;5;2.3375;0;2.3375;5;SIM;SIM
2025;15933;JARDIM ALVORADA;4997;103865;108862;4.1822;16.5027;4.7385;5;3.2507;9.7094;3.5424;4;SIM;SIM
2024;15933;JARDIM ALVORADA;4786;102485;107271;3.5526;16.3498;4.1088;5;3.7664;10.8151;4.073;4;SIM;NÃO
2023;15933;JARDIM ALVORADA;4501;100960;105438;4.1547;13.393;4.5435;6;3.4746;8.8383;3.6998;4;SIM;SIM
2022;15933;JARDIM ALVORADA;4301;99511;103812;3.5538;12.2531;3.9101;6;2.4992;7.2839;2.695;4;SIM;SIM
2025;15935;ROLAND DAVIS;2;22167;22168;1.8254;18.5583;1.8264;4;1.1354;9.5;1.1359;4;SIM;SIM
2024;15935;ROLAND DAVIS;2;22152;22153;3.1758;4.6583;3.176;4;1.9837;4.5;1.9838;4;SIM;SIM
2023;15935;ROLAND DAVIS;2;22042;22043;1.4843;19.4917;1.4852;4;1.1358;7.5;1.1361;4;SIM;SIM
2022;15935;ROLAND DAVIS;0;21848;21848;1.4542;0;1.4542;4;1.4572;0;1.4572;4;SIM;SIM
2025;15936;JARDIM BANDEIRANTES;239;46560;46799;2.66;13.2942;2.7103;6;1.8946;5.862;1.9134;5;SIM;SIM
2024;15936;JARDIM BANDEIRANTES;200;46083;46283;3.4535;7.508;3.4696;6;3.1412;6.3639;3.1538;5;SIM;SIM
2023;15936;JARDIM BANDEIRANTES;164;45513;45677;3.2383;5.7554;3.2466;6;3.0576;2.4384;3.0553;5;SIM;SIM
2022;15936;JARDIM BANDEIRANTES;131;44572;44697;3.0741;16.4889;3.1098;7;2.8879;7.4344;2.8998;6;SIM;SIM
2025;15937;HORIZONTE;9;58710;58719;2.2602;9.333;2.2611;4;1.6942;2.7401;1.6944;4;SIM;SIM
2024;15937;HORIZONTE;8;56967;56975;2.9981;17.4979;3.0002;4;2.2368;5.875;2.2373;4;SIM;SIM
2023;15937;HORIZONTE;6;55369;55375;2.3118;17.59;2.3134;4;1.5645;6.9333;1.5651;4;SIM;SIM
2022;15937;HORIZONTE;5;53928;53933;3.9055;7.89;3.9059;4;2.941;3.8;2.9411;4;SIM;SIM
2025;15938;FAZENDA IGUACU;6928;27163;33706;6.6881;36.8977;12.8326;9;4.8027;19.2402;7.7424;7;NÃO;NÃO
2024;15938;FAZENDA IGUACU;6828;25964;32792;6.5781;33.6619;12.1722;9;4.7868;19.8097;7.8896;7;NÃO;NÃO
2023;15938;FAZENDA IGUACU;6616;25386;31980;6.0222;30.402;11.0448;9;4.9506;16.9832;7.4281;7;NÃO;NÃO
2022;15938;FAZENDA IGUACU;6400;24922;31322;5.6663;35.5631;11.7561;10;5.0289;19.5021;7.977;8;NÃO;SIM
2025;15939;DOIS VIZINHOS;12001;33582;45577;9.3652;31.7218;15.2859;13;8.4065;18.6126;11.1094;8;NÃO;NÃO
2024;15939;DOIS VIZINHOS;11866;32918;44784;8.628;34.9522;15.6291;13;8.3981;19.3432;11.3082;9;NÃO;NÃO
2023;15939;DOIS VIZINHOS;11818;32505;44323;6.3224;34.1649;13.779;14;5.2729;16.4407;8.2646;9;SIM;SIM
